reference_filename	reference_sequence_count	reference_size	assembly_filename	assembly_sequence_count	assembly_size	error_count	substitutions	insertions	deletions	largest_indel	extra_assembly_bases	missing_assembly_bases	assembly_fragmentation_count	missing_reference_sequences	junk_contig_count	redundant_contig_count
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/myloasm_v0.6.0_1.fasta	4	5417831	33260	0	33182	78	33182	0	20	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/myloasm_v0.6.0_2.fasta	6	5467689	41490	2	41399	89	41399	41685	53	0	0	0	2
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/myloasm_v0.6.0_3.fasta	7	5393370	767	0	420	347	420	8550	0	0	0	0	3
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/myloasm_v0.6.0_4.fasta	6	5391119	764	0	0	764	762	7136	0	0	0	0	2
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/myloasm_v0.6.0_5.fasta	7	5432941	1748	4	1	1743	1004	65694	15712	1	0	0	2
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/myloasm_v0.6.0_6.fasta	6	5464994	75026	25	74588	413	41399	6554	482	0	0	0	2
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/metamdbg_v1.4_1.fasta	4	5384738	9	0	0	9	3	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/metamdbg_v1.4_2.fasta	4	5384805	76	0	67	9	65	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/metamdbg_v1.4_3.fasta	4	5384715	16	0	0	16	4	0	16	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/metamdbg_v1.4_4.fasta	5	5386166	14	0	0	14	6	1611	178	0	0	0	1
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/metamdbg_v1.4_5.fasta	6	5389831	458	14	12	432	210	5504	0	0	0	0	2
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/metamdbg_v1.4_6.fasta	4	5384738	9	0	0	9	6	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/ilesta_v1.2.1_1.fasta	5	5430257	13	1	3	9	3	48011	2495	2	1	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/ilesta_v1.2.1_2.fasta	3	5382260	20	0	14	6	11	0	2495	0	1	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/ilesta_v1.2.1_3.fasta	3	5415950	20	1	4	15	5	34910	2495	0	1	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/ilesta_v1.2.1_4.fasta	6	5488741	4878	8	4835	35	4806	101689	2495	3	1	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/ilesta_v1.2.1_5.fasta	3	5393364	10	0	2	8	2	11118	2495	0	1	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/ilesta_v1.2.1_6.fasta	3	5382248	27	1	11	15	6	0	2495	0	1	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/myloasm_v0.6.0_1.fasta	6	5993078	618	4	1	613	611	3494	0	0	0	0	1
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/myloasm_v0.6.0_2.fasta	5	5990830	1185	14	913	258	506	14	35	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/myloasm_v0.6.0_3.fasta	7	6015201	285	6	2	277	275	25302	22	0	0	0	2
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/myloasm_v0.6.0_4.fasta	7	5996308	290	5	2	283	263	6417	24	0	0	0	2
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/myloasm_v0.6.0_5.fasta	6	5992640	400	5	3	392	349	2950	117	0	0	0	1
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/myloasm_v0.6.0_6.fasta	7	5996019	564	13	8	543	266	6373	15	0	0	0	2
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/metamdbg_v1.4_1.fasta	5	5990147	23	3	2	18	3	149	182	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/metamdbg_v1.4_2.fasta	5	5990384	22	5	8	9	6	206	17	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/metamdbg_v1.4_3.fasta	5	5990590	17	5	1	11	2	429	25	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/metamdbg_v1.4_4.fasta	5	5990209	37	7	14	16	9	15	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/metamdbg_v1.4_5.fasta	4	5989147	248	4	218	26	154	0	1241	0	1	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/metamdbg_v1.4_6.fasta	5	5990383	25	3	2	20	3	235	30	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/ilesta_v1.2.1_1.fasta	3	5985414	50	4	9	37	3	0	4754	0	2	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/ilesta_v1.2.1_2.fasta	4	6094632	555	180	110	265	60	134517	29924	1	2	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/ilesta_v1.2.1_3.fasta	3	6039229	17	2	0	15	3	53802	4754	0	2	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/ilesta_v1.2.1_4.fasta	5	6062596	61	26	11	24	12	77167	4754	0	2	0	2
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/ilesta_v1.2.1_5.fasta	5	6055405	2082	25	1969	88	1953	68082	4754	0	2	0	2
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/ilesta_v1.2.1_6.fasta	3	5985418	61	3	17	41	25	0	4754	0	2	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/myloasm_v0.6.0_1.fasta	2	2972545	0	0	0	0	0	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/myloasm_v0.6.0_2.fasta	2	2972622	79	0	78	1	78	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/myloasm_v0.6.0_3.fasta	3	2981378	54	0	0	54	52	8887	0	0	0	0	1
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/myloasm_v0.6.0_4.fasta	2	2972380	169	0	2	167	166	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/myloasm_v0.6.0_5.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/myloasm_v0.6.0_6.fasta	2	2976157	6	1	3	2	3	3611	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/metamdbg_v1.4_1.fasta	2	2972535	11	1	0	10	3	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/metamdbg_v1.4_2.fasta	2	2971491	715	0	61	654	605	0	461	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/metamdbg_v1.4_3.fasta	2	2972541	4	0	0	4	2	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/metamdbg_v1.4_4.fasta	2	2972542	5	2	0	3	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/metamdbg_v1.4_5.fasta	2	2972540	5	0	0	5	3	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/metamdbg_v1.4_6.fasta	2	2972541	8	0	2	6	2	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/ilesta_v1.2.1_1.fasta	2	2972565	55	3	36	16	13	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/ilesta_v1.2.1_2.fasta	2	2972536	9	0	0	9	4	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/ilesta_v1.2.1_3.fasta	2	2975900	3389	0	3372	17	3372	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/ilesta_v1.2.1_4.fasta	2	2972542	5	0	1	4	3	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/ilesta_v1.2.1_5.fasta	2	2972574	53	0	41	12	41	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/ilesta_v1.2.1_6.fasta	2	2972537	19	3	4	12	4	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/myloasm_v0.6.0_1.fasta	2	4465660	172	8	9	155	135	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/myloasm_v0.6.0_2.fasta	2	4465803	4	1	0	3	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/myloasm_v0.6.0_3.fasta	3	4469494	3	1	0	2	1	3690	0	0	0	0	1
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/myloasm_v0.6.0_4.fasta	4	4471157	4	1	0	3	1	5354	0	0	0	0	2
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/myloasm_v0.6.0_5.fasta	3	4481778	234	37	13	184	146	16143	0	0	0	0	1
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/myloasm_v0.6.0_6.fasta	2	4465571	245	8	1	236	234	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/metamdbg_v1.4_1.fasta	2	4465788	20	2	0	18	4	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/metamdbg_v1.4_2.fasta	2	4465313	497	4	0	493	423	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/metamdbg_v1.4_3.fasta	2	4465797	10	1	0	9	3	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/metamdbg_v1.4_4.fasta	2	4465799	8	1	0	7	2	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/metamdbg_v1.4_5.fasta	2	4465795	12	1	0	11	3	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/metamdbg_v1.4_6.fasta	2	4466493	710	1	698	11	698	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/ilesta_v1.2.1_1.fasta	5	4580026	15	4	2	9	2	114227	0	3	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/ilesta_v1.2.1_2.fasta	3	4483163	23	2	4	17	5	17370	0	1	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/ilesta_v1.2.1_3.fasta	5	4525893	57	16	19	22	14	62704	2614	3	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/ilesta_v1.2.1_4.fasta	4	4530821	83	31	16	36	17	65035	0	2	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/ilesta_v1.2.1_5.fasta	2	4463122	680	36	620	24	500	1721	3796	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/ilesta_v1.2.1_6.fasta	2	4463206	56	1	17	38	17	0	2579	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/myloasm_v0.6.0_1.fasta	9	4830461	302	1	298	3	295	1679	0	0	0	0	1
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/myloasm_v0.6.0_2.fasta	12	4839123	969	0	677	292	408	10389	138	0	0	0	4
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/myloasm_v0.6.0_3.fasta	11	4838127	2366	1	1224	1141	755	9642	85	0	0	0	3
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/myloasm_v0.6.0_4.fasta	13	4843921	53	8	7	38	36	15615	150	0	0	0	5
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/myloasm_v0.6.0_5.fasta	12	4842120	912	4	856	52	429	12855	26	0	0	0	4
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/myloasm_v0.6.0_6.fasta	10	4834093	1343	34	363	946	339	6283	94	0	0	0	2
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/metamdbg_v1.4_1.fasta	7	4827268	5	1	4	0	3	39	1262	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/metamdbg_v1.4_2.fasta	7	4827164	51	9	21	21	10	48	1371	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/metamdbg_v1.4_3.fasta	7	4834329	21	2	4	15	4	7118	1265	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/metamdbg_v1.4_4.fasta	7	4827244	20	6	7	7	4	0	1243	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/metamdbg_v1.4_5.fasta	7	4826472	826	6	43	777	366	0	1281	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/metamdbg_v1.4_6.fasta	7	4827141	118	1	6	111	36	0	1241	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/ilesta_v1.2.1_1.fasta	36	4403192	55966	45	55132	789	25267	224779	697536	34	6	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/ilesta_v1.2.1_2.fasta	37	4430689	88336	93	74805	13438	21845	192652	650631	35	6	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/ilesta_v1.2.1_3.fasta	34	4472812	85385	61	84620	704	23952	235670	673317	32	6	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/ilesta_v1.2.1_4.fasta	36	4426110	97757	91	95993	1673	16799	225699	717714	34	6	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/ilesta_v1.2.1_5.fasta	41	4419930	177348	169	155362	21817	32130	316967	856405	40	6	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/ilesta_v1.2.1_6.fasta	41	4372553	79305	50	78506	749	23688	193334	721143	38	6	0	1
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_fast_2026-07_1.fasta	4	5384742	5	0	0	5	3	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_fast_2026-07_2.fasta	4	5384747	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_fast_2026-07_3.fasta	4	5384746	0	0	0	0	0	0	1	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_fast_2026-07_4.fasta	4	5384746	1	0	0	1	1	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_fast_2026-07_5.fasta	4	5384745	2	0	0	2	1	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_fast_2026-07_6.fasta	4	5384745	2	0	0	2	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_fast_2026-07_1.fasta	5	5990197	2	1	1	0	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_fast_2026-07_2.fasta	5	5990200	9	3	5	1	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_fast_2026-07_3.fasta	5	5990196	10	4	3	3	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_fast_2026-07_4.fasta	5	5990197	8	3	3	2	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_fast_2026-07_5.fasta	5	5990198	8	4	3	1	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_fast_2026-07_6.fasta	5	5990197	8	5	2	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_fast_2026-07_1.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_fast_2026-07_2.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_fast_2026-07_3.fasta	2	2972543	2	0	0	2	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_fast_2026-07_4.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_fast_2026-07_5.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_fast_2026-07_6.fasta	2	2972543	2	0	0	2	1	0	0	0	0	0	0
